Borda count

Preference Schedule:
Voter 1: Sayan, Jayadev, Vishal, Vishesh, Hardeep, Aditya, Somy, Govind, Sachin, Amrish
Voter 2388: Sachin, Jayadev, Sayan, Aditya, Vishal, Govind, Hardeep, Somy, Vishesh, Amrish
Voter 2389: Somy, Hardeep, Vishal, Sayan, Jayadev, Sachin, Govind, Aditya, Vishesh, Amrish
Voter 2390: Jayadev, Somy, Hardeep, Sachin, Amrish, Vishal, Sayan, Vishesh, Aditya, Govind
Voter 2391: Sayan, Hardeep, Vishal, Aditya, Amrish, Jayadev, Somy, Sachin, Vishesh, Govind
Voter 2392: Jayadev, Hardeep, Govind, Somy, Sayan, Vishal, Sachin, Amrish, Aditya, Vishesh
Voter 2393: Vishal, Amrish, Govind, Hardeep, Somy, Jayadev, Sachin, Sayan, Aditya, Vishesh
Voter 2394: Hardeep, Sayan, Somy, Sachin, Aditya, Vishal, Vishesh, Jayadev, Govind, Amrish
Voter 2395: Aditya, Govind, Vishesh, Somy, Hardeep, Sayan, Jayadev, Sachin, Vishal, Amrish
Voter 2396: Vishal, Jayadev, Hardeep, Amrish, Govind, Vishesh, Somy, Aditya, Sayan, Sachin
Voter 2397: Sayan, Hardeep, Somy, Jayadev, Aditya, Vishal, Sachin, Govind, Amrish, Vishesh
Voter 2398: Jayadev, Sayan, Amrish, Somy, Aditya, Vishal, Hardeep, Govind, Sachin, Vishesh
Voter 2399: Sachin, Hardeep, Sayan, Jayadev, Govind, Aditya, Amrish, Somy, Vishesh, Vishal
Voter 2400: Aditya, Sachin, Somy, Hardeep, Jayadev, Sayan, Amrish, Vishal, Vishesh, Govind
Voter 2401: Amrish, Hardeep, Jayadev, Sayan, Aditya, Vishesh, Sachin, Vishal, Govind, Somy
Voter 2402: Vishesh, Aditya, Jayadev, Vishal, Somy, Sayan, Amrish, Sachin, Govind, Hardeep
Voter 2403: Somy, Vishal, Sayan, Sachin, Amrish, Vishesh, Hardeep, Aditya, Jayadev, Govind
Voter 2404: Sayan, Amrish, Hardeep, Aditya, Govind, Somy, Sachin, Jayadev, Vishal, Vishesh
Voter 2405: Somy, Govind, Vishesh, Hardeep, Aditya, Amrish, Jayadev, Sayan, Vishal, Sachin
Voter 2406: Jayadev, Aditya, Hardeep, Govind, Vishal, Amrish, Somy, Sayan, Vishesh, Sachin
Voter 2407: Vishesh, Sachin, Vishal, Somy, Hardeep, Amrish, Aditya, Govind, Sayan, Jayadev
Voter 2408: Govind, Sachin, Sayan, Jayadev, Aditya, Vishesh, Amrish, Vishal, Somy, Hardeep
Voter 2409: Jayadev, Hardeep, Sayan, Amrish, Govind, Somy, Vishesh, Sachin, Aditya, Vishal
Voter 2410: Vishal, Somy, Hardeep, Aditya, Sachin, Vishesh, Govind, Amrish, Jayadev, Sayan
Voter 2411: Vishal, Jayadev, Aditya, Hardeep, Vishesh, Amrish, Somy, Sayan, Sachin, Govind
Voter 2412: Aditya, Vishesh, Sachin, Amrish, Govind, Jayadev, Somy, Sayan, Vishal, Hardeep
Voter 2413: Jayadev, Sachin, Amrish, Vishesh, Somy, Govind, Aditya, Hardeep, Sayan, Vishal
Voter 2414: Somy, Sayan, Jayadev, Aditya, Amrish, Hardeep, Vishesh, Sachin, Govind, Vishal
Voter 2415: Vishesh, Amrish, Aditya, Jayadev, Sachin, Govind, Somy, Hardeep, Sayan, Vishal
Voter 2416: Sayan, Sachin, Hardeep, Jayadev, Somy, Govind, Aditya, Vishesh, Amrish, Vishal
Voter 2417: Hardeep, Jayadev, Sachin, Vishesh, Govind, Aditya, Somy, Sayan, Vishal, Amrish
Voter 2418: Sayan, Sachin, Aditya, Vishal, Govind, Amrish, Jayadev, Hardeep, Somy, Vishesh
Voter 2419: Govind, Hardeep, Aditya, Sachin, Somy, Jayadev, Amrish, Vishal, Vishesh, Sayan
Voter 2420: Sachin, Vishesh, Amrish, Aditya, Vishal, Jayadev, Sayan, Hardeep, Govind, Somy
Voter 2421: Sachin, Vishal, Hardeep, Jayadev, Somy, Sayan, Aditya, Amrish, Vishesh, Govind
Voter 2422: Sachin, Jayadev, Govind, Sayan, Aditya, Vishesh, Amrish, Hardeep, Vishal, Somy
Voter 2423: Amrish, Govind, Vishesh, Sachin, Somy, Vishal, Jayadev, Aditya, Sayan, Hardeep
Voter 2424: Somy, Aditya, Vishesh, Amrish, Govind, Sayan, Sachin, Hardeep, Jayadev, Vishal
Voter 2425: Aditya, Amrish, Hardeep, Somy, Vishal, Govind, Sayan, Jayadev, Vishesh, Sachin
Voter 2426: Sayan, Hardeep, Govind, Vishesh, Jayadev, Sachin, Somy, Aditya, Amrish, Vishal
Voter 2427: Vishesh, Amrish, Jayadev, Aditya, Govind, Somy, Vishal, Sayan, Hardeep, Sachin
Voter 2428: Vishesh, Govind, Hardeep, Aditya, Sachin, Amrish, Vishal, Somy, Sayan, Jayadev
Voter 2429: Aditya, Vishal, Jayadev, Sayan, Sachin, Vishesh, Hardeep, Amrish, Somy, Govind
Voter 2430: Vishesh, Sayan, Vishal, Aditya, Somy, Amrish, Jayadev, Govind, Hardeep, Sachin
Voter 2431: Sachin, Govind, Sayan, Hardeep, Aditya, Amrish, Vishal, Jayadev, Somy, Vishesh
Voter 2432: Sachin, Aditya, Somy, Jayadev, Hardeep, Vishesh, Amrish, Vishal, Sayan, Govind
Voter 2433: Hardeep, Jayadev, Sachin, Vishesh, Sayan, Aditya, Vishal, Govind, Amrish, Somy
Voter 2434: Govind, Amrish, Aditya, Jayadev, Somy, Sayan, Hardeep, Sachin, Vishesh, Vishal
Voter 2435: Sachin, Vishesh, Jayadev, Sayan, Vishal, Hardeep, Govind, Aditya, Somy, Amrish
Voter 2436: Amrish, Sachin, Somy, Hardeep, Jayadev, Aditya, Vishal, Vishesh, Govind, Sayan
Voter 2437: Aditya, Amrish, Govind, Hardeep, Sachin, Sayan, Vishal, Vishesh, Jayadev, Somy
Voter 2438: Somy, Aditya, Jayadev, Vishal, Sachin, Hardeep, Govind, Vishesh, Amrish, Sayan
Voter 2439: Vishesh, Vishal, Hardeep, Govind, Somy, Amrish, Aditya, Sachin, Sayan, Jayadev
Voter 2440: Vishal, Jayadev, Sachin, Sayan, Somy, Vishesh, Amrish, Aditya, Hardeep, Govind
Voter 2441: Aditya, Govind, Amrish, Sayan, Hardeep, Vishal, Somy, Jayadev, Vishesh, Sachin
Voter 2442: Govind, Jayadev, Aditya, Sayan, Vishal, Sachin, Hardeep, Somy, Amrish, Vishesh
Voter 2443: Aditya, Sayan, Vishesh, Govind, Sachin, Amrish, Vishal, Jayadev, Somy, Hardeep
Voter 2444: Amrish, Vishesh, Sayan, Aditya, Jayadev, Sachin, Vishal, Somy, Govind, Hardeep
Voter 2445: Vishal, Sachin, Govind, Jayadev, Hardeep, Vishesh, Sayan, Somy, Aditya, Amrish
Voter 2446: Amrish, Jayadev, Vishesh, Aditya, Govind, Vishal, Hardeep, Sachin, Somy, Sayan
Voter 2447: Hardeep, Amrish, Govind, Sachin, Vishesh, Vishal, Sayan, Aditya, Somy, Jayadev
Voter 2448: Amrish, Somy, Sachin, Govind, Jayadev, Vishesh, Hardeep, Vishal, Sayan, Aditya
Voter 2449: Somy, Hardeep, Aditya, Vishesh, Sayan, Amrish, Jayadev, Vishal, Sachin, Govind
Voter 2450: Vishal, Govind, Hardeep, Sachin, Sayan, Jayadev, Vishesh, Aditya, Amrish, Somy
Voter 2451: Govind, Sayan, Hardeep, Sachin, Vishal, Vishesh, Somy, Amrish, Aditya, Jayadev
Voter 2452: Amrish, Govind, Sayan, Vishal, Somy, Sachin, Hardeep, Vishesh, Aditya, Jayadev
Voter 2453: Aditya, Vishesh, Hardeep, Govind, Somy, Amrish, Jayadev, Sachin, Sayan, Vishal
Voter 2454: Vishal, Sachin, Govind, Aditya, Jayadev, Hardeep, Vishesh, Sayan, Somy, Amrish
Voter 2455: Somy, Vishal, Amrish, Hardeep, Govind, Aditya, Sayan, Jayadev, Vishesh, Sachin
Voter 2456: Vishesh, Hardeep, Aditya, Vishal, Sachin, Jayadev, Sayan, Somy, Govind, Amrish
Voter 2457: Govind, Hardeep, Vishal, Amrish, Sayan, Sachin, Jayadev, Somy, Vishesh, Aditya
Voter 2458: Govind, Aditya, Sayan, Hardeep, Sachin, Somy, Jayadev, Vishal, Vishesh, Amrish
Voter 2459: Vishal, Hardeep, Govind, Somy, Jayadev, Vishesh, Sayan, Sachin, Aditya, Amrish
Voter 2460: Sachin, Jayadev, Vishesh, Hardeep, Sayan, Govind, Somy, Vishal, Aditya, Amrish
Voter 2461: Sachin, Vishesh, Hardeep, Vishal, Jayadev, Aditya, Somy, Sayan, Amrish, Govind
Voter 2462: Jayadev, Aditya, Hardeep, Sachin, Sayan, Amrish, Vishesh, Vishal, Govind, Somy
Voter 2463: Hardeep, Sachin, Jayadev, Vishal, Somy, Amrish, Aditya, Sayan, Vishesh, Govind
Voter 2464: Sachin, Sayan, Amrish, Vishal, Vishesh, Aditya, Somy, Jayadev, Govind, Hardeep
Voter 2465: Somy, Sachin, Sayan, Hardeep, Aditya, Govind, Vishal, Jayadev, Amrish, Vishesh
Voter 2466: Somy, Aditya, Vishal, Sachin, Govind, Hardeep, Vishesh, Amrish, Sayan, Jayadev
Voter 2467: Hardeep, Somy, Sachin, Vishal, Govind, Sayan, Aditya, Vishesh, Jayadev, Amrish
Voter 2468: Aditya, Vishesh, Vishal, Govind, Hardeep, Sayan, Somy, Amrish, Jayadev, Sachin
Voter 2469: Sachin, Aditya, Sayan, Govind, Hardeep, Amrish, Somy, Jayadev, Vishesh, Vishal
Voter 2470: Govind, Vishesh, Aditya, Jayadev, Sayan, Amrish, Vishal, Sachin, Somy, Hardeep
Voter 2471: Jayadev, Vishal, Amrish, Hardeep, Vishesh, Aditya, Sayan, Sachin, Govind, Somy
Voter 2472: Govind, Jayadev, Sayan, Aditya, Somy, Hardeep, Sachin, Vishal, Amrish, Vishesh
Voter 2473: Sachin, Hardeep, Sayan, Vishal, Govind, Somy, Vishesh, Jayadev, Aditya, Amrish
Voter 2474: Somy, Amrish, Govind, Sayan, Aditya, Vishesh, Jayadev, Hardeep, Sachin, Vishal
Voter 2475: Amrish, Vishal, Aditya, Somy, Sachin, Hardeep, Govind, Sayan, Vishesh, Jayadev
Voter 2476: Hardeep, Vishesh, Govind, Sayan, Sachin, Vishal, Jayadev, Aditya, Amrish, Somy
Voter 2477: Jayadev, Sayan, Sachin, Vishal, Amrish, Hardeep, Govind, Vishesh, Aditya, Somy
Voter 2478: Sachin, Govind, Hardeep, Somy, Vishesh, Amrish, Jayadev, Vishal, Sayan, Aditya
Voter 2479: Sachin, Hardeep, Vishesh, Amrish, Vishal, Sayan, Somy, Jayadev, Aditya, Govind
Voter 2480: Vishesh, Sachin, Somy, Sayan, Amrish, Hardeep, Vishal, Govind, Aditya, Jayadev
Voter 2481: Hardeep, Vishal, Somy, Jayadev, Sachin, Vishesh, Govind, Aditya, Amrish, Sayan
Voter 2482: Aditya, Sachin, Vishal, Amrish, Jayadev, Hardeep, Govind, Vishesh, Somy, Sayan
Voter 2483: Hardeep, Vishal, Sayan, Vishesh, Aditya, Amrish, Govind, Jayadev, Somy, Sachin
Voter 2484: Aditya, Vishesh, Govind, Amrish, Sayan, Jayadev, Somy, Sachin, Vishal, Hardeep
Voter 2485: Aditya, Somy, Amrish, Sayan, Vishesh, Govind, Jayadev, Vishal, Hardeep, Sachin
Voter 2486: Hardeep, Sachin, Aditya, Vishesh, Vishal, Sayan, Amrish, Somy, Jayadev, Govind
Voter 2487: Vishal, Sayan, Amrish, Aditya, Hardeep, Vishesh, Jayadev, Sachin, Govind, Somy
Voter 2488: Vishesh, Jayadev, Somy, Sayan, Vishal, Hardeep, Sachin, Govind, Amrish, Aditya
Voter 2489: Vishal, Vishesh, Hardeep, Aditya, Sachin, Govind, Amrish, Sayan, Somy, Jayadev
Voter 2490: Vishesh, Amrish, Vishal, Govind, Sachin, Hardeep, Somy, Sayan, Aditya, Jayadev
Voter 2491: Govind, Somy, Sachin, Vishal, Hardeep, Vishesh, Sayan, Jayadev, Aditya, Amrish
Voter 2492: Sayan, Aditya, Jayadev, Vishesh, Somy, Hardeep, Sachin, Govind, Amrish, Vishal
Voter 2493: Aditya, Sayan, Vishal, Govind, Somy, Hardeep, Sachin, Amrish, Jayadev, Vishesh
Voter 2494: Hardeep, Vishesh, Jayadev, Sayan, Somy, Amrish, Sachin, Aditya, Vishal, Govind
Voter 2495: Vishal, Aditya, Somy, Jayadev, Amrish, Sachin, Hardeep, Sayan, Vishesh, Govind
Voter 2496: Sachin, Jayadev, Somy, Sayan, Vishesh, Govind, Aditya, Hardeep, Amrish, Vishal
Voter 2497: Somy, Hardeep, Amrish, Vishal, Vishesh, Govind, Sachin, Aditya, Sayan, Jayadev
Voter 2498: Sayan, Jayadev, Amrish, Aditya, Hardeep, Vishal, Sachin, Govind, Vishesh, Somy
Voter 2499: Jayadev, Amrish, Aditya, Vishal, Govind, Sayan, Hardeep, Sachin, Vishesh, Somy
Voter 2500: Hardeep, Jayadev, Somy, Amrish, Sachin, Vishal, Aditya, Vishesh, Sayan, Govind
Voter 2501: Sayan, Hardeep, Sachin, Govind, Somy, Jayadev, Amrish, Aditya, Vishal, Vishesh
Voter 2502: Amrish, Govind, Sachin, Somy, Vishal, Aditya, Hardeep, Jayadev, Vishesh, Sayan
Voter 2503: Jayadev, Aditya, Govind, Sachin, Vishesh, Sayan, Hardeep, Somy, Vishal, Amrish
Voter 2504: Hardeep, Aditya, Amrish, Vishesh, Sayan, Vishal, Govind, Sachin, Jayadev, Somy
Voter 2505: Somy, Aditya, Amrish, Sayan, Jayadev, Vishal, Sachin, Vishesh, Hardeep, Govind
Voter 2506: Somy, Aditya, Govind, Jayadev, Amrish, Hardeep, Vishesh, Sachin, Sayan, Vishal
Voter 2507: Sayan, Jayadev, Vishal, Hardeep, Somy, Amrish, Vishesh, Aditya, Sachin, Govind
Voter 2508: Somy, Sachin, Sayan, Govind, Amrish, Vishal, Vishesh, Hardeep, Jayadev, Aditya
Voter 2509: Sayan, Hardeep, Aditya, Sachin, Amrish, Vishal, Jayadev, Somy, Govind, Vishesh
Voter 2510: Jayadev, Hardeep, Aditya, Sayan, Sachin, Vishesh, Amrish, Somy, Vishal, Govind
Voter 2511: Govind, Vishal, Jayadev, Aditya, Somy, Hardeep, Sayan, Amrish, Vishesh, Sachin
Voter 2512: Govind, Aditya, Hardeep, Sayan, Sachin, Vishal, Jayadev, Vishesh, Amrish, Somy
Voter 2513: Vishesh, Jayadev, Govind, Somy, Amrish, Sayan, Hardeep, Sachin, Aditya, Vishal
Voter 2514: Vishal, Aditya, Govind, Jayadev, Vishesh, Sachin, Hardeep, Amrish, Sayan, Somy
Voter 2515: Govind, Amrish, Aditya, Vishal, Somy, Hardeep, Jayadev, Sachin, Vishesh, Sayan
Voter 2516: Vishesh, Amrish, Hardeep, Sachin, Aditya, Somy, Jayadev, Vishal, Sayan, Govind
Voter 2517: Aditya, Amrish, Hardeep, Somy, Jayadev, Vishal, Vishesh, Sachin, Govind, Sayan
Voter 2518: Jayadev, Vishesh, Hardeep, Sachin, Sayan, Somy, Vishal, Amrish, Aditya, Govind
Voter 2519: Sachin, Govind, Vishesh, Sayan, Aditya, Jayadev, Somy, Vishal, Hardeep, Amrish
Voter 2520: Aditya, Sayan, Amrish, Jayadev, Vishesh, Somy, Vishal, Hardeep, Govind, Sachin
Voter 2521: Govind, Hardeep, Jayadev, Somy, Sayan, Aditya, Amrish, Vishal, Sachin, Vishesh
Voter 2522: Sayan, Vishesh, Somy, Aditya, Amrish, Sachin, Vishal, Govind, Hardeep, Jayadev
Voter 2523: Vishal, Aditya, Jayadev, Govind, Hardeep, Sachin, Somy, Vishesh, Sayan, Amrish
Voter 2524: Somy, Sayan, Sachin, Jayadev, Aditya, Amrish, Vishal, Hardeep, Govind, Vishesh
Voter 2525: Amrish, Govind, Sachin, Vishesh, Hardeep, Vishal, Sayan, Jayadev, Aditya, Somy
Voter 2526: Somy, Vishal, Amrish, Govind, Sachin, Hardeep, Sayan, Vishesh, Aditya, Jayadev
Voter 2527: Aditya, Hardeep, Jayadev, Somy, Sayan, Govind, Vishesh, Amrish, Sachin, Vishal
Voter 2528: Sayan, Amrish, Vishesh, Jayadev, Vishal, Govind, Aditya, Hardeep, Somy, Sachin
Voter 2529: Sachin, Somy, Jayadev, Aditya, Hardeep, Govind, Vishal, Sayan, Amrish, Vishesh
Voter 2530: Hardeep, Vishesh, Vishal, Sayan, Govind, Aditya, Amrish, Jayadev, Somy, Sachin
Voter 2531: Aditya, Amrish, Govind, Sayan, Vishal, Hardeep, Sachin, Jayadev, Vishesh, Somy
Voter 2532: Hardeep, Jayadev, Sachin, Vishal, Govind, Aditya, Somy, Sayan, Amrish, Vishesh
Voter 2533: Govind, Sayan, Vishesh, Vishal, Jayadev, Somy, Hardeep, Sachin, Aditya, Amrish
Voter 2534: Hardeep, Vishal, Jayadev, Amrish, Aditya, Vishesh, Sayan, Govind, Somy, Sachin
Voter 2535: Vishesh, Aditya, Govind, Hardeep, Sayan, Somy, Vishal, Amrish, Sachin, Jayadev
Voter 2536: Jayadev, Sayan, Aditya, Hardeep, Govind, Vishesh, Sachin, Vishal, Somy, Amrish
Voter 2537: Aditya, Vishal, Jayadev, Somy, Sachin, Sayan, Govind, Vishesh, Amrish, Hardeep
Voter 2538: Govind, Sachin, Jayadev, Somy, Vishal, Vishesh, Sayan, Hardeep, Amrish, Aditya
Voter 2539: Jayadev, Vishesh, Hardeep, Sachin, Vishal, Sayan, Amrish, Govind, Aditya, Somy
Voter 2540: Vishal, Govind, Amrish, Hardeep, Sachin, Aditya, Jayadev, Vishesh, Somy, Sayan
Voter 2541: Sachin, Somy, Amrish, Aditya, Hardeep, Vishesh, Vishal, Sayan, Jayadev, Govind
Voter 2542: Amrish, Aditya, Vishesh, Somy, Jayadev, Sachin, Hardeep, Vishal, Govind, Sayan
Voter 2543: Vishesh, Aditya, Jayadev, Amrish, Vishal, Govind, Hardeep, Somy, Sayan, Sachin
Voter 2544: Sayan, Sachin, Aditya, Amrish, Jayadev, Vishesh, Vishal, Hardeep, Govind, Somy
Voter 2545: Govind, Vishal, Aditya, Sachin, Jayadev, Amrish, Somy, Hardeep, Vishesh, Sayan
Voter 2546: Amrish, Hardeep, Vishal, Sayan, Vishesh, Govind, Sachin, Somy, Aditya, Jayadev
Voter 2547: Aditya, Amrish, Sayan, Jayadev, Vishesh, Hardeep, Somy, Govind, Sachin, Vishal
Voter 2548: Hardeep, Amrish, Govind, Somy, Jayadev, Vishesh, Aditya, Sachin, Sayan, Vishal
Voter 2549: Vishesh, Sayan, Sachin, Jayadev, Vishal, Aditya, Govind, Somy, Hardeep, Amrish
Voter 2550: Somy, Vishesh, Sachin, Aditya, Govind, Jayadev, Hardeep, Sayan, Amrish, Vishal
Voter 2551: Vishesh, Hardeep, Somy, Sachin, Sayan, Jayadev, Amrish, Vishal, Govind, Aditya
Voter 2552: Vishal, Sachin, Somy, Aditya, Sayan, Hardeep, Amrish, Vishesh, Jayadev, Govind
Voter 2553: Jayadev, Vishal, Hardeep, Somy, Amrish, Sayan, Govind, Sachin, Vishesh, Aditya
Voter 2554: Amrish, Govind, Vishal, Somy, Sayan, Sachin, Hardeep, Vishesh, Aditya, Jayadev
Voter 2555: Amrish, Vishal, Sachin, Somy, Govind, Sayan, Vishesh, Jayadev, Aditya, Hardeep
Voter 2556: Vishal, Amrish, Sachin, Hardeep, Jayadev, Govind, Aditya, Somy, Sayan, Vishesh
Voter 2557: Aditya, Somy, Vishesh, Sayan, Amrish, Jayadev, Sachin, Hardeep, Govind, Vishal
Voter 2558: Vishesh, Sayan, Amrish, Govind, Hardeep, Sachin, Jayadev, Aditya, Vishal, Somy
Voter 2559: Govind, Somy, Sayan, Aditya, Vishesh, Vishal, Amrish, Jayadev, Sachin, Hardeep
Voter 2560: Somy, Vishesh, Vishal, Aditya, Jayadev, Govind, Sachin, Hardeep, Amrish, Sayan
Voter 2561: Somy, Amrish, Govind, Sayan, Hardeep, Vishesh, Jayadev, Aditya, Vishal, Sachin
Voter 2562: Vishal, Somy, Vishesh, Jayadev, Aditya, Sayan, Amrish, Sachin, Hardeep, Govind
Voter 2563: Vishal, Sachin, Jayadev, Aditya, Somy, Govind, Amrish, Vishesh, Sayan, Hardeep
Voter 2564: Amrish, Govind, Jayadev, Sayan, Sachin, Aditya, Vishesh, Somy, Hardeep, Vishal
Voter 2565: Hardeep, Aditya, Sayan, Vishal, Govind, Vishesh, Sachin, Somy, Jayadev, Amrish
Voter 2566: Sayan, Amrish, Govind, Jayadev, Somy, Aditya, Vishal, Hardeep, Sachin, Vishesh
Voter 2567: Aditya, Govind, Sayan, Sachin, Vishesh, Hardeep, Somy, Jayadev, Amrish, Vishal
Voter 2568: Amrish, Govind, Somy, Vishal, Jayadev, Aditya, Hardeep, Vishesh, Sayan, Sachin
Voter 2569: Hardeep, Sachin, Govind, Vishal, Aditya, Amrish, Sayan, Jayadev, Somy, Vishesh
Voter 2570: Hardeep, Govind, Aditya, Somy, Sayan, Amrish, Sachin, Vishesh, Jayadev, Vishal
Voter 2571: Vishal, Somy, Vishesh, Hardeep, Sayan, Jayadev, Govind, Aditya, Amrish, Sachin
Voter 2572: Aditya, Sayan, Govind, Jayadev, Sachin, Somy, Amrish, Hardeep, Vishesh, Vishal
Voter 2573: Aditya, Vishal, Amrish, Vishesh, Sayan, Hardeep, Jayadev, Sachin, Somy, Govind
Voter 2574: Vishesh, Vishal, Sachin, Aditya, Jayadev, Govind, Somy, Sayan, Amrish, Hardeep
Voter 2575: Somy, Govind, Vishesh, Aditya, Sachin, Jayadev, Vishal, Hardeep, Sayan, Amrish
Voter 2576: Hardeep, Govind, Sachin, Jayadev, Sayan, Vishesh, Vishal, Amrish, Aditya, Somy
Voter 2577: Jayadev, Hardeep, Sayan, Vishal, Somy, Aditya, Govind, Vishesh, Sachin, Amrish
Voter 2578: Somy, Vishesh, Jayadev, Vishal, Govind, Sachin, Hardeep, Amrish, Aditya, Sayan
Voter 2579: Sachin, Hardeep, Jayadev, Vishal, Sayan, Vishesh, Govind, Somy, Aditya, Amrish
Voter 2580: Vishal, Hardeep, Amrish, Sachin, Govind, Sayan, Somy, Jayadev, Aditya, Vishesh
Voter 2581: Amrish, Govind, Vishal, Hardeep, Sachin, Somy, Sayan, Vishesh, Aditya, Jayadev
Voter 2582: Aditya, Sachin, Jayadev, Hardeep, Govind, Sayan, Vishal, Vishesh, Amrish, Somy
Voter 2583: Sachin, Somy, Vishesh, Sayan, Aditya, Amrish, Vishal, Jayadev, Hardeep, Govind
Voter 2584: Vishesh, Aditya, Somy, Amrish, Hardeep, Sachin, Govind, Sayan, Vishal, Jayadev
Voter 2585: Govind, Jayadev, Somy, Hardeep, Sayan, Sachin, Amrish, Vishal, Aditya, Vishesh
Voter 2586: Vishal, Somy, Amrish, Hardeep, Jayadev, Govind, Vishesh, Sachin, Sayan, Aditya
Voter 2587: Aditya, Govind, Somy, Jayadev, Sayan, Vishal, Sachin, Hardeep, Amrish, Vishesh
Voter 2588: Jayadev, Sachin, Vishal, Hardeep, Aditya, Vishesh, Sayan, Amrish, Somy, Govind
Voter 2589: Sayan, Somy, Hardeep, Govind, Sachin, Amrish, Jayadev, Vishesh, Vishal, Aditya
Voter 2590: Somy, Vishal, Govind, Vishesh, Aditya, Sayan, Hardeep, Jayadev, Amrish, Sachin
Voter 2591: Jayadev, Govind, Sachin, Sayan, Vishal, Aditya, Hardeep, Vishesh, Amrish, Somy
Voter 2592: Sayan, Hardeep, Sachin, Jayadev, Amrish, Aditya, Govind, Vishesh, Vishal, Somy
Voter 2593: Amrish, Aditya, Govind, Jayadev, Vishal, Hardeep, Sachin, Sayan, Vishesh, Somy
Voter 2594: Vishal, Sachin, Govind, Jayadev, Vishesh, Sayan, Hardeep, Amrish, Somy, Aditya
Voter 2595: Govind, Aditya, Amrish, Vishesh, Vishal, Jayadev, Sachin, Somy, Hardeep, Sayan
Voter 2596: Jayadev, Amrish, Vishesh, Govind, Sayan, Vishal, Hardeep, Somy, Aditya, Sachin
Voter 2597: Jayadev, Vishal, Vishesh, Hardeep, Amrish, Somy, Sachin, Sayan, Aditya, Govind
Voter 2598: Aditya, Jayadev, Vishesh, Sachin, Hardeep, Vishal, Sayan, Govind, Amrish, Somy
Voter 2599: Somy, Hardeep, Sayan, Amrish, Govind, Vishal, Sachin, Jayadev, Aditya, Vishesh
Voter 2600: Govind, Jayadev, Hardeep, Vishesh, Sayan, Amrish, Sachin, Aditya, Vishal, Somy
Voter 2601: Hardeep, Sachin, Vishesh, Sayan, Govind, Amrish, Aditya, Jayadev, Somy, Vishal
Voter 2602: Jayadev, Vishal, Somy, Govind, Sayan, Sachin, Vishesh, Aditya, Hardeep, Amrish
Voter 2603: Amrish, Govind, Somy, Sayan, Hardeep, Jayadev, Sachin, Vishal, Aditya, Vishesh
Voter 2604: Sachin, Aditya, Somy, Hardeep, Vishesh, Sayan, Vishal, Jayadev, Amrish, Govind
Voter 2605: Hardeep, Vishal, Amrish, Vishesh, Sachin, Aditya, Sayan, Govind, Jayadev, Somy
Voter 2606: Amrish, Hardeep, Somy, Vishal, Sayan, Jayadev, Govind, Sachin, Vishesh, Aditya
Voter 2607: Sachin, Aditya, Amrish, Somy, Vishesh, Hardeep, Sayan, Govind, Vishal, Jayadev
Voter 2608: Vishesh, Amrish, Sachin, Hardeep, Vishal, Sayan, Aditya, Jayadev, Govind, Somy
Voter 2609: Hardeep, Vishal, Amrish, Jayadev, Vishesh, Sachin, Govind, Aditya, Somy, Sayan
Voter 2610: Amrish, Sachin, Hardeep, Somy, Aditya, Jayadev, Vishesh, Vishal, Sayan, Govind
Voter 2611: Amrish, Aditya, Vishal, Hardeep, Vishesh, Jayadev, Govind, Somy, Sayan, Sachin
Voter 2612: Aditya, Sayan, Amrish, Sachin, Vishesh, Jayadev, Vishal, Hardeep, Govind, Somy
Voter 2613: Vishal, Sayan, Govind, Amrish, Hardeep, Jayadev, Aditya, Sachin, Vishesh, Somy
Voter 2614: Vishal, Amrish, Hardeep, Vishesh, Sachin, Somy, Govind, Sayan, Jayadev, Aditya
Voter 2615: Aditya, Jayadev, Sayan, Somy, Vishal, Govind, Hardeep, Amrish, Sachin, Vishesh
Voter 2616: Sachin, Amrish, Vishesh, Jayadev, Hardeep, Aditya, Somy, Vishal, Sayan, Govind
Voter 2617: Govind, Vishal, Somy, Sachin, Vishesh, Jayadev, Sayan, Hardeep, Amrish, Aditya
Voter 2618: Sachin, Aditya, Jayadev, Hardeep, Govind, Somy, Sayan, Vishesh, Vishal, Amrish
Voter 2619: Govind, Vishal, Aditya, Somy, Vishesh, Hardeep, Sachin, Jayadev, Amrish, Sayan
Voter 2620: Sayan, Jayadev, Aditya, Amrish, Vishal, Sachin, Hardeep, Somy, Vishesh, Govind
Voter 2621: Amrish, Jayadev, Vishal, Sayan, Govind, Somy, Vishesh, Sachin, Hardeep, Aditya
Voter 2622: Sayan, Aditya, Vishesh, Vishal, Jayadev, Amrish, Govind, Sachin, Somy, Hardeep
Voter 2623: Sachin, Jayadev, Vishesh, Sayan, Hardeep, Somy, Govind, Amrish, Aditya, Vishal
Voter 2624: Hardeep, Jayadev, Amrish, Somy, Sachin, Sayan, Govind, Vishal, Aditya, Vishesh
Voter 2625: Sachin, Aditya, Hardeep, Vishal, Jayadev, Govind, Somy, Sayan, Vishesh, Amrish
Voter 2626: Sachin, Jayadev, Vishesh, Vishal, Hardeep, Sayan, Amrish, Aditya, Somy, Govind
Voter 2627: Jayadev, Somy, Vishal, Sachin, Sayan, Hardeep, Govind, Amrish, Vishesh, Aditya
